OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,decay_risk_flag,epoch_age_days,decay_risk_score
STARLINK-35943,2025-286C,2026-07-16 04:54:40.923648,15.34399097,0.00012549,53.1581,119.3387,103.4946,256.6197,66927,3512,0.00020181336,6.448e-05,0.0,False,1.3446487541898147,0.09565392348160857
STARLINK-35944,2025-286D,2026-07-16 04:42:41.897664,15.34393519,0.00010828,53.1589,119.9977,85.283,274.8297,66928,3511,0.00018324587,5.819e-05,0.0,False,1.352970814189815,0.03972395767452867
STARLINK-36169,2025-286E,2026-07-16 01:53:09.361248,15.34399238,0.00013476,53.1587,119.9766,97.8636,262.252,66929,3510,0.0001797708,5.702e-05,0.0,False,1.470708504189815,0.02925616982182432
STARLINK-36206,2025-286F,2026-07-15 23:49:11.396928,15.34403361,0.000123,53.159,120.8561,84.8059,275.3083,66930,3507,0.00023726022,7.649e-05,0.0,False,1.5567960541898147,0.2024288116204118
STARLINK-36130,2025-286G,2026-07-16 05:21:58.704768,15.34429438,0.00015395,53.159,119.4634,68.3977,291.719,66931,3512,0.00083286484,0.00027895,0.0,False,1.3256929541898148,1.9965402413903377
STARLINK-36177,2025-286H,2026-07-16 03:54:13.229568,15.34396237,0.00011962,53.1581,119.792,101.8025,258.3112,66932,3511,0.00038620803,0.00012693,0.0,False,1.3866359541898148,0.6510972056973404
STARLINK-36157,2025-286J,2026-07-16 01:10:51.974688,15.34404254,0.00015984,53.1604,120.5005,78.0255,282.0926,66933,3509,0.00027550368,8.944e-05,0.0,False,1.500076404189815,0.317627764744632
STARLINK-36153,2025-286K,2026-07-16 04:24:31.307616,15.34399652,0.00013205,53.1593,119.919,83.7855,276.3298,66934,3511,0.00047304662,0.0001564,0.0,False,1.365593384189815,0.9126769544644073
STARLINK-36127,2025-286L,2026-07-16 01:56:11.076000,15.34397837,8.026e-05,53.158,119.9902,93.5639,266.5455,66935,3510,0.00021041275,6.739e-05,0.0,False,1.468605324189815,0.12155745641264794
STARLINK-36160,2025-286M,2026-07-16 03:42:06.005088,15.3438214,0.00011837,53.1577,119.7364,89.6604,270.4534,66936,3510,0.00042679131,0.00014063,0.0,False,1.3950529041898148,0.7733442871681879
STARLINK-36165,2025-286N,2026-07-16 04:03:18.480960,15.34402558,0.00011811,53.1592,119.8279,88.6333,271.4804,66937,3511,0.00026983887,8.752e-05,0.0,False,1.3803251741898148,0.3005639273813909
STARLINK-36155,2025-286P,2026-07-16 03:51:11.581344,15.34397618,9.974e-05,53.1582,119.7734,105.8692,254.242,66938,3511,0.00026106535,8.454e-05,0.0,False,1.3887383641898148,0.27413587094469805
STARLINK-36154,2025-286Q,2026-07-16 02:05:16.520928,15.34395799,0.00013051,53.158,120.0262,100.6603,259.4547,66939,3510,0.00016977203,5.363e-05,0.0,False,1.4622923041898148,0.0
STARLINK-36121,2025-286R,2026-07-16 02:23:27.187008,15.3440422,0.00012751,53.1599,120.1055,112.0965,248.0173,66940,3510,0.0002977608,9.698e-05,0.0,False,1.4496688541898148,0.38467182727349686
STARLINK-36088,2025-286S,2026-07-16 04:45:35.850240,15.34399271,0.00010983,53.1581,119.2946,97.5561,262.5566,66941,3512,0.00026499663,8.587e-05,0.0,False,1.350957474189815,0.28597787845233946
STARLINK-36100,2025-286T,2026-07-16 04:15:25.652736,15.34402437,0.00013951,53.1602,119.8795,74.2393,285.8764,66942,3504,0.00025958449,8.405e-05,0.0,False,1.371908834189815,0.2696751468961016
STARLINK-36109,2025-286U,2026-07-16 05:09:50.521248,15.34409726,0.00012217,53.1573,119.4037,91.2704,268.8439,66943,3505,0.00041409623,0.00013644,0.0,False,1.3341210041898148,0.735103502316916
STARLINK-36112,2025-286V,2026-07-16 04:57:43.005600,15.34399946,0.00012719,53.1576,119.3521,88.005,272.1098,66944,3512,0.00026463841,8.575e-05,0.0,False,1.3425413241898148,0.28489882940740063
STARLINK-36110,2025-286W,2026-07-16 04:12:23.902560,15.34402267,0.00014208,53.1594,119.866,68.2778,291.8375,66945,3511,0.00023959138,7.728e-05,0.0,False,1.3740124241898148,0.20945085386149184
