OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,decay_risk_flag,epoch_age_days,decay_risk_score
STARLINK-11412 [DTC],2025-035L,2026-07-15 19:52:32.444256,15.70856033,0.00017619,42.9998,322.9691,265.9424,94.1242,63062,8137,0.0010458276,0.00136056,0.0,True,1.721135784189815,2.638037820491302
STARLINK-32678,2024-239J,2026-07-16 06:48:07.442208,15.37750801,0.00051931,53.1579,302.3089,325.6408,34.4259,62309,8927,0.0010449591,0.00039145,0.0,True,1.2658696041898148,2.6354216793056358
STARLINK-11417 [DTC],2025-031C,2026-07-16 06:59:38.912640,15.70933651,0.00013272,42.9986,306.6956,287.7337,72.3385,62983,8296,0.0010442762,0.001363,0.0,True,1.2578664741898147,2.633364612160338
STARLINK-36785,2026-034D,2026-07-15 08:46:32.906496,15.30251948,0.00024875,53.1626,331.1878,27.9485,332.1649,67853,2358,0.0010424908,0.00030695,0.0,True,2.1836304341898147,2.6279865367741673
STARLINK-35332,2025-224F,2026-07-16 05:31:58.355328,15.3441598,0.0001378,53.1578,131.5139,122.434,237.6796,65887,4457,0.0010410337,0.00034979,0.0,True,1.3187525541898149,2.623597383841946
STARLINK-35079,2025-210AD,2026-07-16 01:31:19.564032,15.30211562,0.00013798,53.1592,70.9328,57.4564,302.657,65649,4738,0.0010394981,0.00030566,0.0,True,1.4858681941898149,2.6189717690984695
STARLINK-2373,2021-018K,2026-07-15 19:46:23.746080,15.36929437,4.78e-05,53.1569,1.6894,196.0155,164.0833,47796,29641,0.0010373,0.00037809,0.0,True,1.725403124189815,2.6123505371580964
STARLINK-11438 [DTC],2025-024K,2026-07-15 20:00:49.512960,15.7086059,0.00013392,42.9999,128.7536,300.0525,60.021,62888,8362,0.0010357977,0.00134749,0.0,True,1.7153826741898148,2.6078252304186305
STARLINK-11522 [DTC],2025-043K,2026-07-16 01:26:44.821536,15.7084671,0.00033017,43.0009,196.7451,285.7738,74.2766,63141,7948,0.0010351295,0.00134604,0.0,True,1.4890480841898148,2.6058124433832104
STARLINK-11515 [DTC],2025-006C,2026-07-16 00:43:59.871648,15.70877369,0.0001696,43.0007,86.6105,266.9817,93.0857,62556,8678,0.0010316934,0.00134303,0.0,True,1.5187350041898147,2.595462043005469
STARLINK-11686 [DTC],2025-119A,2026-07-16 00:21:31.896000,15.70871422,0.00020503,43.0022,155.9123,274.4569,85.6064,64233,6542,0.0010299668,0.00134042,0.0,True,1.534336574189815,2.590261088058812
STARLINK-11435 [DTC],2025-024N,2026-07-16 00:11:26.107584,15.70840939,0.00013149,42.9996,128.3608,263.5033,96.5685,62891,8364,0.0010265894,0.00133415,0.0,True,1.5413480141898148,2.580087506895347
STARLINK-11485 [DTC],2024-231M,2026-07-16 05:49:46.380288,15.69794192,0.00013595,53.1577,187.4408,97.1845,262.9328,62229,9360,0.0010256829,0.00126015,0.0,True,1.3063911541898148,2.577356900119519
STARLINK-11708 [DTC],2025-119F,2026-07-16 06:34:05.815488,15.70951304,0.00030216,43.0011,154.4106,254.76,105.2934,64238,6546,0.0010255938,0.00133932,0.0,True,1.2756106541898147,2.5770885084331137
STARLINK-11573 [DTC],2025-031J,2026-07-15 15:21:06.927264,15.70874288,0.00032869,43.0026,310.3972,293.6975,66.3548,62989,8283,0.0010237854,0.00133256,0.0,True,1.9096255641898148,2.5716411512423725
STARLINK-11526 [DTC],2025-032C,2026-07-16 05:20:52.747872,15.70861855,0.00017799,43.0021,140.1452,248.7618,111.306,63007,8243,0.0010227841,0.00133032,0.0,True,1.3264563441898147,2.5686249829416146
STARLINK-4007,2022-053BD,2026-07-16 05:14:31.082784,15.11626909,0.00010508,53.2152,276.1798,14.0882,346.014,52707,23079,0.0010225076,0.0001732,0.0,True,1.330873764189815,2.5677920951605704
